conv spk part sid chno starttime endtime seg.id wavfile
AlGore_2006 AG AG 222 NA 820.73 822.61 AlGore_2006.AG.p.59.seg.248 AlGore_2006-light.wav
AlGore_2006 AG AG 223 NA 822.8 825.18 AlGore_2006.AG.p.59.seg.249 AlGore_2006-light.wav
AlGore_2006 AG AG 224 NA 825.36 826.75 AlGore_2006.AG.p.59.seg.250 AlGore_2006-light.wav
AlGore_2006 AG AG 225 NA 826.94 829.41 AlGore_2006.AG.p.59.seg.251 AlGore_2006-light.wav
AlGore_2006 AG AG 226 NA 830.12 835.22 AlGore_2006.AG.p.59.seg.252 AlGore_2006-light.wav
AlGore_2006 AG AG 227 NA 835.71 837.67 AlGore_2006.AG.p.59.seg.253 AlGore_2006-light.wav
AlGore_2006 AG AG 228 NA 837.7 841.69 AlGore_2006.AG.p.59.seg.254 AlGore_2006-light.wav
AlGore_2006 AG AG 229 NA 842.32 843.65 AlGore_2006.AG.p.59.seg.255 AlGore_2006-light.wav
AlGore_2006 AG AG 230 NA 844.01 847.72 AlGore_2006.AG.p.59.seg.256 AlGore_2006-light.wav
AlGore_2006 AG AG 231 NA 848.09 850.09 AlGore_2006.AG.p.59.seg.257 AlGore_2006-light.wav
AlGore_2006 AG AG 232 NA 850.14 853.31 AlGore_2006.AG.p.59.seg.258 AlGore_2006-light.wav
AlGore_2006 AG AG 233 NA 853.31 854.13 AlGore_2006.AG.p.59.seg.259 AlGore_2006-light.wav
AlGore_2006 AG AG 234 NA 855.82 857.08 AlGore_2006.AG.p.59.seg.260 AlGore_2006-light.wav
